,ques,ans,isBully
0,whats your favorite song D, I like too many songs to have a favorite,Positive
1,,   haha jk ,Positive
2,hey angel  you duh sexy, Really Thanks haha,Positive
3,, ,Positive
4,MEOWWW, RAWR,Positive
5,any makeup tips i suck at doing my makeup lol, Sure Like tell me wht u wnna know Like wht do you use,Positive
6,Apriiiiiiiiiiiill I miss uuuu Its Emma btw haha, EMMA hahahahah D I MISSSSSeddd YUHHHHh  ,Positive
7,Are you a morning or night person, Night shuree,Positive
8,are you a trusting person, alreadi answrd,Positive
9,are you a trusting person, Yes veryy trustin person May i help yuh,Positive
10,Are you and TruAce best friends, Ahaha Yess of course aint dat rite TruAce  Haha He so awesome tho BCK OFF lol jk,Positive
11,Are you more of a talker or more of a listener, Listener definitely chuz i get cut off alot so i just listen or ignore pplz,Positive
12,Are yuh single and ready  mingle, Hahaha Yup Bhut not lookin  a man rite atm chuz dey much drama,Positive
13,ask me something, ,Positive
14,BAHAHAhAHAtook you longer enoughpGEES GIRL hahahno its totally okay i just wanted to play guess who i am hahahai fuckinggg love you too , HahahahhaahhahaD ikrr im a slow american wht more can i say lmfaoo hahaha  Aww hahaha,Positive
15,bahahahahhaha p, lmaoo,Positive
16,Bitch u thee bomb like Tick TICK, Hahah Thanks,Positive
17,can you please sing a cover of any justin bieber song D, Hahaha I dont sing LOL so srry Im horrible btw I dedicate SMILE  yuh Its playing,Positive
18,Cats or Dogs, Dogs Im allergic  cats,Positive
19,Chocolate or Vanilla, Chocolate Bahah,Positive
20,definitely true D ive been learnin it for  years cuz ive frensh origins haha , Ahhh wow yrs man  its a gorgeous language I love it this is my first year learnin it haha NEWBIE,Positive
21,Did u watch bieber on oprah, Well sortaa I just got  wtch thee Charice part Shes awesome  hbu,Positive
22,Do you believe in life after death, Yes of course i do Its called Eternity with God in heaven,Positive
23,Do you believe in luck, Yes  bhut I think luck is blessing from God actually in my opinioN,Positive
24,Do you believe theres intelligent life on other planets, If God created them then hellz yes,Positive
25,Do you consider yourself a good dancer, Hahaha Bitch i bring it lmao Kinda i think lmao I hve some black in me so yes haha,Positive
26,do you have a bf, Nope  Bhut Not Having a BF doesnt mean The WORLD ends I guess im waiting  the   ya kno Hbu mamas,Positive
27,Do you have any favorite YouTube star, I have  actually Justin Bieber ofcourse  Scipio Mondai,Positive
28,do you have any memories youd like to forget, Actually i do Just my whole experience with this fake a friend,Positive
29,Do you have any piercings, Yuppers Nose and Cartilage piercings,Positive
30,Do you have any scars on your body  If so  howd you get them, Hahaha StrangeS,Positive
31,do you like atlanta  GA , yes i love ATL great place  live  wish i lived there D,Positive
32,do you think that a size  is fat im trying to be a size  by the end of the year, Omg NO WAY  is actually small Dont change thee way you look  ANYONE bhut yourslf Kay,Positive
33,do you think youre a good friend, Fuck yes i think i am haha,Positive
34,do you watch american idol if so  who are you voting for this season, Awww man you just reminded me I wtch it sometimes bhut i love Big Mike Pplz are really wrong bout letting Katie go Argh  ,Positive
35,Do yuh have any stalkers, Hell yes Lots of them and thats including yuh,Positive
36,dont listen to the haters  you are pretty, D thank you gurlboy  I really appreciate it,Positive
37,Favorite store, ATM Rue D Or Forever ,Positive
38,Fuck Justin bieber Hes a fucking fag, UM excuse yuh HE IS NOT Ur a fuckin idiot Kay good,Positive
39,growl, MeowlD If thts a word haha,Positive
40,guesss who , Idk hoe get cha own cup of blackberry with a hint of lemon ice tea Dayumm hahah JK Brooke,Positive
41,Haa you guessedd righhttttDr its Maryyyy ahhh ilovee this picture mayb becuase youhr in it babe, Off courrseeee dudee hahahahaha Awhhh lol i think i love it  chuz im in it lol jk i love yuh,Positive
42,haaa its all qud  sorry abouht the hoe thinq  iwas mad lol, lmfao haha Nahh its my badd,Positive
43,haha so have u ever been to france, Pfftt nahhh i hve never been outta this country Argh hve yuh haha,Positive
44,haha check inside ur closet u mind find out who it is, Lmao kk lemme get my ass off this toliet seat then ill check Mwahah jk,Positive
45,HAHA NOPE IM NOT TAQUISHA EITHERi TALK TO YOU ALOT ON TWITTER , OMG tell me ughh grrr rawrr bianca LMAO idkk TELL ME,Positive
46,HAHAH GUESS WHO , Mary lol hahahaha,Positive
47,hahah okey dokeysweet thang, Mwahaha Sweet thang i love it,Positive
48,Hahah Funny how u defend that beiber kid,  its also funny how u stalked my whole twitter Nice goin BITCH,Positive
49,HAHAHA NOPE , Uhhhhh OMG Taquisha LOL,Positive
50,Have u ever licked thee floor, Hahaha Yup Its my job,Positive
